relative_altitude_ft,vertical_rate_ft_s,tau_sec,previous_advisory,optimal_advisory
-700,37.5,10,0,RIGHT
-700,37.5,10,1,COC
-700,37.5,10,2,RIGHT
-700,37.5,11,0,RIGHT
-700,37.5,11,1,COC
-700,37.5,11,2,RIGHT
-700,37.5,12,0,RIGHT
-700,37.5,12,1,COC
-700,37.5,12,2,RIGHT
-700,37.5,13,0,RIGHT
-700,37.5,13,1,COC
-700,37.5,13,2,RIGHT
-700,37.5,14,0,RIGHT
-700,37.5,14,1,COC
-700,37.5,14,2,RIGHT
-700,37.5,15,0,RIGHT
-700,37.5,15,1,COC
-700,37.5,15,2,RIGHT
-700,37.5,16,0,RIGHT
-700,37.5,16,1,COC
-700,37.5,16,2,RIGHT
-700,37.5,17,0,RIGHT
-700,37.5,17,1,COC
-700,37.5,17,2,RIGHT
-700,37.5,18,0,RIGHT
-700,37.5,18,1,COC
-700,37.5,18,2,RIGHT
-700,37.5,19,0,RIGHT
-700,37.5,19,1,COC
-700,37.5,19,2,RIGHT
-700,37.5,20,0,RIGHT
-700,37.5,20,1,COC
-700,37.5,20,2,RIGHT
-700,37.5,21,0,RIGHT
-700,37.5,21,1,COC
-700,37.5,21,2,RIGHT
-700,37.5,22,0,RIGHT
-700,37.5,22,1,COC
-700,37.5,22,2,RIGHT
-700,37.5,23,0,RIGHT
-700,37.5,23,1,COC
-700,37.5,23,2,RIGHT
-700,37.5,24,0,RIGHT
-700,37.5,24,1,COC
-700,37.5,24,2,RIGHT
-700,37.5,25,0,RIGHT
-700,37.5,25,1,COC
-700,37.5,25,2,RIGHT
-700,37.5,26,0,RIGHT
-700,37.5,26,1,COC
-700,37.5,26,2,RIGHT
-700,37.5,27,0,RIGHT
-700,37.5,27,1,COC
-700,37.5,27,2,RIGHT
-700,37.5,28,0,RIGHT
-700,37.5,28,1,COC
-700,37.5,28,2,RIGHT
-700,37.5,29,0,RIGHT
-700,37.5,29,1,COC
-700,37.5,29,2,RIGHT
-700,37.5,30,0,RIGHT
-700,37.5,30,1,COC
-700,37.5,30,2,RIGHT
-700,37.5,31,0,RIGHT
-700,37.5,31,1,COC
-700,37.5,31,2,RIGHT
-700,37.5,32,0,RIGHT
-700,37.5,32,1,COC
-700,37.5,32,2,RIGHT
-700,37.5,33,0,COC
-700,37.5,33,1,COC
